player_name,team_name,position,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,id,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player_name_lower,Player Name,Age,Market Value,Club,Nationality,Market Value Num,log_Market_Value,Age_sq,per90,goals_per90,assists_per90,xG_per90,xA_per90,Club_Avg_Value,Position_Central Midfield,Position_Centre-Back,Position_Centre-Forward,Position_Defensive Midfield,Position_Left Midfield,Position_Left Winger,Position_Left-Back,Position_Right Midfield,Position_Right Winger,Position_Right-Back,Position_Second Striker,Predicted_Market_Value,Value_Difference
Declan Rice,Arsenal,M,64,45,27.10843373,501,81,49.09090909,982,768,1750,87.58758759,48,66.66666667,24,34,5,0,0,170,16,3,13,11,70,0,0,17,13,94,1,0,6.5350035,3.1747,26,0,10.0,0,4,9,0.0,87,55.41401274,1,0,0,2145603,248,35,62.0,0,33,2919.0,1,12,0,1,0,0,0.0,0,0,0,0,462,12,0,7.441176471,0,3,0,0,0,0,0,0,729.75,0.0,5,13,27,14,13,14.0,50.0,0,64,33,51.5625,61,118,28,166,135,58.95196507,165,1166,832,1998,40,3,2591,9,3,0,declan rice,Declan Rice,26.0,€110.00m,Arsenal FC,England,110000000.0,18.5159909328476,676.0,32.43333333333333,0.12332986947691589,0.15416233684614486,0.09788383415709122,0.20149028217154713,51833333.333333336,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100158460.0,-9841536.0
Gabriel Magalhães,Arsenal,D,41,1,20.0,196,73,45.34161491,555,860,1415,88.27199002,94,62.25165563,57,29,4,0,0,59,5,4,10,15,166,0,0,4,6,84,1,2,1.77176018,2.623,18,0,12.5,44,3,7,0.0,67,71.27659574,1,0,2,2145611,188,22,7.0,2,28,2526.0,0,32,0,0,0,0,0.0,0,0,0,0,216,2,0,7.3,0,0,0,0,0,0,0,0,842.0,0.0,0,20,4,8,6,1.0,50.0,0,36,19,52.77777778,7,91,2,5,161,65.71428571,161,684,919,1603,24,5,1994,30,4,0,gabriel magalhães,Gabriel Magalhães,27.0,€70.00m,Arsenal FC,Brazil,70000000.0,18.064005814299346,729.0,28.066666666666666,0.10688832296140512,0.14251776394854015,0.09345602370925522,0.06312682477666576,51833333.333333336,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64177136.0,-5822864.0
Bukayo Saka,Arsenal,F,15,37,32.17391304,314,14,35.8974359,441,111,552,76.88022284,22,44.89795918,27,29,4,0,0,109,11,8,23,7,10,0,0,30,15,143,0,1,6.62425466,7.314,29,0,10.60606061,0,7,11,0.0,137,54.15019763,1,0,1,2145631,166,15,59.0,4,23,2055.0,14,0,0,2,1,0,100.0,0,1,0,0,376,26,0,7.265517241,0,2,0,0,0,0,0,0,293.5714286,0.0,2,50,16,16,27,50.0,53.19148936,0,36,17,47.22222222,57,37,94,115,159,52.64900662,39,583,135,718,66,5,1287,51,1,0,bukayo saka,Bukayo Saka,23.0,€150.00m,Arsenal FC,England,150000000.0,18.826145858727198,529.0,22.833333333333332,0.3065692088018064,0.17518240502960364,0.3203210275966303,0.29011321571683985,51833333.333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,132835780.0,-17164224.0
Martín Zubimendi,Arsenal,M,48,2,18.18181818,391,51,47.6635514,881,716,1597,87.60285244,65,68.42105263,30,35,1,0,0,112,1,2,8,10,74,0,0,10,21,98,2,3,2.21511757,2.8516,31,0,18.51851852,0,5,6,0.0,85,55.55555556,2,0,2,2145641,226,39,18.0,0,33,2871.0,1,5,0,0,0,0,0.0,0,0,0,0,291,7,0,7.068571429,0,3,0,0,0,0,0,0,574.2,0.0,0,20,7,10,9,7.0,46.66666667,0,67,38,56.71641791,18,95,15,11,150,60.48387097,107,1049,774,1823,27,2,2206,13,4,0,martín zubimendi,Martín Zubimendi,26.0,€55.00m,Arsenal FC,Spain,55000000.0,17.822843761378564,676.0,31.9,0.15673976277750384,0.03134795255550077,0.08939182150726599,0.06943940048921615,51833333.333333336,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65384776.0,10384776.0
William Saliba,Arsenal,D,26,4,44.44444444,245,55,50.0,651,1166,1817,92.65680775,67,54.91803279,55,29,0,0,0,106,1,2,1,13,121,0,0,8,6,93,0,2,1.24705521,0.8575,21,0,20.0,23,1,1,0.0,55,59.13978495,1,0,0,2145639,144,17,10.0,0,28,2435.0,1,6,0,0,0,0,0.0,0,0,0,0,176,2,0,6.996428571,0,0,0,0,0,0,0,0,2435.0,0.0,0,5,0,3,1,7.0,70.0,0,33,21,63.63636364,10,52,10,9,122,56.74418605,110,747,1214,1961,5,0,2243,15,1,0,william saliba,William Saliba,24.0,€75.00m,Arsenal FC,France,75000000.0,18.132998684833918,576.0,27.055555555555557,0.03696097196514383,0.0,0.031694033460110835,0.046092372655796555,51833333.333333336,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59030916.0,-15969084.0
Martin Ødegaard,Arsenal,M,28,6,27.27272727,268,35,53.84615385,427,200,627,84.61538462,3,37.5,5,22,5,0,0,65,6,0,4,3,6,0,0,12,11,51,0,1,3.47289793,1.0175,9,0,4.761904762,0,1,6,0.0,35,43.20987654,0,0,0,2145629,114,7,38.0,1,15,1258.0,2,0,0,1,0,0,0.0,0,0,0,0,179,18,0,6.995454545,0,0,0,0,0,0,0,0,1258.0,0.0,0,9,12,9,8,9.0,39.13043478,0,19,8,42.10526316,37,71,23,22,38,42.69662921,65,524,217,741,21,2,898,7,0,0,martin ødegaard,Martin Ødegaard,26.0,€80.00m,Arsenal FC,Norway,80000000.0,18.197537205138154,676.0,13.977777777777778,0.07154207918293222,0.35771039591466114,0.07279406556863355,0.24845833870230138,51833333.333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44332020.0,-35667980.0
Eberechi Eze,Arsenal,M,12,2,16.66666667,204,15,41.66666667,332,158,490,83.61774744,9,29.03225806,22,30,2,0,0,71,4,1,21,2,10,0,0,22,6,84,0,1,2.57273945,4.2063,16,0,12.5,0,7,9,0.0,79,56.02836879,0,0,1,2143784,96,10,14.0,1,20,1745.0,1,1,0,0,0,0,0.0,0,0,0,0,177,16,0,6.966666667,0,6,0,0,0,0,0,0,249.2857143,0.0,0,31,25,18,17,26.0,56.52173913,0,18,13,72.22222222,14,30,46,12,88,51.1627907,36,409,177,586,56,2,863,35,1,0,eberechi eze,Eberechi Eze,27.0,€50.00m,Crystal Palace,England,50000000.0,17.72753358339242,729.0,19.38888888888889,0.3610313324193701,0.10315180926267717,0.21694372765079947,0.13269136451448246,17763157.89473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35162680.0,-14837320.0
Leandro Trossard,Arsenal,F,35,14,25.45454545,261,29,42.64705882,404,129,533,76.80115274,6,33.33333333,12,29,6,0,0,74,7,6,18,3,14,0,0,37,16,107,0,1,3.4157725,4.95,13,0,10.41666667,0,5,11,0.0,84,46.9273743,0,0,2,2164655,161,9,34.0,1,19,1827.0,5,3,0,0,0,0,0.0,0,0,0,0,320,9,0,6.913793103,0,4,0,0,0,0,0,0,365.4,0.0,0,35,13,17,13,23.0,43.39622642,0,26,17,65.38461538,34,73,53,55,90,45.68527919,68,541,153,694,48,2,1104,36,1,0,leandro trossard,Leandro Trossard,30.0,€20.00m,Arsenal FC,Belgium,20000000.0,16.811242881518265,900.0,20.3,0.24630529738655302,0.2955663568638636,0.24384224441268748,0.16826457228346192,51833333.333333336,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20131084.0,131084.0
Leandro Trossard,Arsenal,F,35,14,25.45454545,261,29,42.64705882,404,129,533,76.80115274,6,33.33333333,12,29,6,0,0,74,7,6,18,3,14,0,0,37,16,107,0,1,3.4157725,4.95,13,0,10.41666667,0,5,11,0.0,84,46.9273743,0,0,2,2164655,161,9,34.0,1,19,1827.0,5,3,0,0,0,0,0.0,0,0,0,0,320,9,0,6.913793103,0,4,0,0,0,0,0,0,365.4,0.0,0,35,13,17,13,23.0,43.39622642,0,26,17,65.38461538,34,73,53,55,90,45.68527919,68,541,153,694,48,2,1104,36,1,0,leandro trossard,Leandro Trossard,30.0,€18.00m,Arsenal FC,Belgium,18000000.0,16.705882371415992,900.0,20.3,0.24630529738655302,0.2955663568638636,0.24384224441268748,0.16826457228346192,51833333.333333336,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20131084.0,2131084.0
Riccardo Calafiori,Arsenal,D,8,3,14.28571429,169,19,51.35135135,303,278,581,85.69321534,42,60.0,28,23,2,0,0,67,0,2,9,4,50,0,0,9,8,75,0,1,0.51035235,3.1266,25,0,3.448275862,0,1,3,0.0,55,53.92156863,1,0,2,2145621,97,15,6.0,0,19,1545.0,4,4,0,0,0,0,0.0,0,0,0,0,183,5,0,6.877272727,0,0,0,0,0,0,0,0,1545.0,0.0,0,20,9,13,7,15.0,71.42857143,0,32,19,59.375,6,15,21,21,97,56.39534884,37,359,319,678,29,1,1060,9,5,0,riccardo calafiori,Riccardo Calafiori,23.0,€30.00m,Arsenal FC,Italy,30000000.0,17.216707972959764,529.0,17.166666666666668,0.058252393251033055,0.11650478650206611,0.18213193273867995,0.02972924578878886,51833333.333333336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43959180.0,13959180.0
